AppID,Developer
730,1
570,1
578080,2
1172710,3
3419430,4
3419430,5
238960,6
252490,7
359550,8
2622380,9
2923300,10
2923300,11
2923300,12
271590,13
2767030,14
1172470,15
1086940,16
3489700,17
1938090,18
1938090,19
1938090,20
1938090,21
1938090,22
1938090,23
1938090,24
1938090,25
1938090,26
236390,27
2669320,28
2669320,29
431960,30
2252570,31
553850,32
221100,33
2507950,34
413150,35
1366800,36
381210,37
440,1
394360,38
3240220,13
3241660,39
230410,40
322170,41
1245620,9
346110,42
346110,43
346110,44
346110,45
1174180,46
1222670,47
1903340,48
438100,49
227300,50
526870,51
1091500,52
294100,53
2300320,54
289070,55
289070,56
289070,57
108600,58
489830,59
4000,7
3188910,60
105600,61
251570,62
1281930,63
550,1
2139460,64
1142710,65
1142710,66
1085660,67
3164500,68
427520,69
892970,70
1671210,71
2357570,72
292030,52
261550,73
2073850,74
2399830,42
2399830,75
2399830,43
322330,76
252950,77
284160,78
629520,79
218620,80
813780,81
813780,82
813780,83
813780,84
813780,85
813780,81
1158310,38
39210,86
250900,87
250900,88
2694490,6
236850,38
236850,89
1551360,90
3513350,91
1623730,92
2878980,93
281990,38
306130,94
2379780,95
8930,55
8930,56
8930,57
2429640,96
1203220,97
1449850,98
275850,99
1203620,100
377160,59
739630,101
291550,102
582660,103
393380,104
107410,33
1874880,33
1905180,105
1665460,98
2707930,106
240,1
1599340,107
3527290,108
2138720,109
513710,110
1237950,111
1604270,112
2584990,113
594650,114
2873440,115
529340,38
960090,116
3350200,117
1771300,118
1326470,119
3061570,120
3061570,121
3061570,122
1361210,123
2183900,124
3224770,113
1850570,125
2452280,126
2246340,127
2344520,72
1818450,128
242760,119
1244460,129
2358720,130
1144200,131
1973530,132
3024040,133
244210,134
