ID,Publisher
1,Valve
2,KRAFTON Inc.
3,Funcom
4,Irox Games
5,Grinding Gear Games
6,Facepunch Studios
7,Ubisoft
8,FromSoftware Inc.
9,Bandai Namco Entertainment
10,Sky
11,Rockstar Games
12,NetEase Games
13,Electronic Arts
14,Larian Studios
15,PlayStation Publishing LLC (excluding China)
16,Activision
17,Gaijin Network Ltd
18,Wallpaper Engine Team
19,SEGA
20,PlayStation Publishing LLC
21,Bohemia Interactive
22,TiMi Studio Group
23,ConcernedApe
24,CenterPoint Gaming
25,Behaviour Interactive Inc.
26,Paradox Interactive
27,semiwork
28,Digital Extremes
29,RobTop Games
30,Studio Wildcard
31,Snail Games USA
32,Kepler Interactive
33,VRChat Inc.
34,SCS Software
35,Coffee Stain Publishing
36,CD PROJEKT RED
37,Ludeon Studios
38,Giants Software
39,2K
40,Aspyr (Mac)
41,Aspyr (Linux)
42,The Indie Stone
43,Bethesda Softworks
44,Clicker Company
45,Re-Logic
46,The Fun Pimps Entertainment LLC
47,TML Team
48,Starry Studio
49,Feral Interactive
50,Bungie
51,TVGS
52,Wube Software LTD.
53,tobyfox
54,Blizzard Entertainment Inc.
55,TaleWorlds Entertainment
56,Embark Studios
57,Klei Entertainment
58,Psyonix LLC
59,BeamNG
60,Leppsoft
61,Starbreeze Publishing AB
62,Xbox Game Studios
63,Square Enix
64,Nicalis Inc.
65,KURO GAMES
66,Pocketpair
67,Playstack
68,Amazon Games
69,NetEase Games Global
70,KONAMI
71,Hello Games
72,Keen Games GmbH
73,Kinetic Games
74,Pearl Abyss
75,Offworld
76,OBS Project
77,Singularity 6 Corporation
78,Aggro Crab
79,Landfall
80,Sloclap
81,Gamepires
82,Slitherine Ltd.
83,Cygames Inc.
84,Crytek
85,Kakao Games
86,Ninja Kiwi
87,Front Studio
88,Deep Silver
89,Newnight 
90,Fatshark
91,Focus Entertainment
92, 505 Games
93,Amazing Seasun Games
94,CAPCOM Co. Ltd.
95,EXBO
96,Endnight Games Ltd
97,Frontier Developments
98,Game Science
99,VOID Interactive
100,ProjectMoon
101,FireFly Studios
102,Kunos Simulazioni
