AppID,Date,Rank,Player_Count
1599340,2025-06-15,100,16410
1771300,2025-06-22,100,16291
107410,2025-06-29,100,17468
2379780,2025-07-06,100,17870
2379780,2025-07-13,100,16205
306130,2025-07-20,100,15387
240,2025-06-15,99,16310
739630,2025-06-22,99,17353
529340,2025-06-29,99,20318
3489700,2025-07-06,99,48174
2358720,2025-07-13,99,42071
1551360,2025-07-20,99,19980
2707930,2025-06-15,98,16402
3350200,2025-06-22,98,88695
2379780,2025-06-29,98,17599
2429640,2025-07-06,98,18929
1771300,2025-07-13,98,18672
1874880,2025-07-20,98,15589
1665460,2025-06-15,97,17970
377160,2025-06-22,97,17649
377160,2025-06-29,97,17726
2584990,2025-07-06,97,61672
1237950,2025-07-13,97,18150
291550,2025-07-20,97,15623
1905180,2025-06-15,96,23647
107410,2025-06-22,96,17838
1905180,2025-06-29,96,25623
2073850,2025-07-06,96,18556
2073850,2025-07-13,96,16874
244210,2025-07-20,96,15698
1874880,2025-06-15,95,16503
240,2025-06-22,95,18204
1551360,2025-06-29,95,23163
242760,2025-07-06,95,20367
960090,2025-07-13,95,17246
393380,2025-07-20,95,17980
107410,2025-06-15,94,17083
281990,2025-06-22,94,20475
2073850,2025-06-29,94,18082
1203220,2025-07-06,94,87653
1604270,2025-07-13,94,20437
3024040,2025-07-20,94,16109
393380,2025-06-15,93,18696
1203220,2025-06-22,93,106090
8930,2025-06-29,93,19229
377160,2025-07-06,93,18882
2429640,2025-07-13,93,19123
2452280,2025-07-20,93,29782
582660,2025-06-15,92,17470
2429640,2025-06-22,92,18577
582660,2025-06-29,92,19357
1551360,2025-07-06,92,24113
1551360,2025-07-13,92,22298
2379780,2025-07-20,92,16251
291550,2025-06-15,91,17034
2379780,2025-06-22,91,18480
2429640,2025-06-29,91,19402
8930,2025-07-06,91,19610
1905180,2025-07-13,91,22954
1818450,2025-07-20,91,18302
739630,2025-06-15,90,17692
306130,2025-06-22,90,18541
960090,2025-06-29,90,19482
1850570,2025-07-06,90,21441
1665460,2025-07-13,90,18920
1665460,2025-07-20,90,18376
377160,2025-06-15,89,17247
1905180,2025-06-22,89,25339
39210,2025-06-29,89,19544
2183900,2025-07-06,89,19494
377160,2025-07-13,89,18238
2429640,2025-07-20,89,18016
1203620,2025-06-15,88,17331
2694490,2025-06-22,88,19036
236850,2025-06-29,88,20351
1818450,2025-07-06,88,20974
8930,2025-07-13,88,18692
2073850,2025-07-20,88,17496
275850,2025-06-15,87,18401
1671210,2025-06-22,87,19355
1850570,2025-06-29,87,22080
39210,2025-07-06,87,19403
2344520,2025-07-13,87,26604
1905180,2025-07-20,87,23657
1449850,2025-06-15,86,28759
8930,2025-06-22,86,19885
1158310,2025-06-29,86,22655
1604270,2025-07-06,86,24520
1818450,2025-07-13,86,19937
377160,2025-07-20,86,18466
1203220,2025-06-15,85,111067
236850,2025-06-22,85,21157
3224770,2025-06-29,85,23563
236850,2025-07-06,85,21949
2246340,2025-07-13,85,36730
1973530,2025-07-20,85,36823
2429640,2025-06-15,84,19574
218620,2025-06-22,84,29664
813780,2025-06-29,84,24596
240,2025-07-06,84,21974
39210,2025-07-13,84,19642
8930,2025-07-20,84,19204
8930,2025-06-15,83,18796
960090,2025-06-22,83,20862
2183900,2025-06-29,83,23377
1158310,2025-07-06,83,23465
1244460,2025-07-13,83,20993
3164500,2025-07-20,83,19382
2379780,2025-06-15,82,19044
2878980,2025-06-22,82,40465
1361210,2025-06-29,82,24630
2344520,2025-07-06,82,34688
2584990,2025-07-13,82,50204
218620,2025-07-20,82,29132
306130,2025-06-15,81,19285
2073850,2025-06-22,81,21310
250900,2025-06-29,81,25716
960090,2025-07-06,81,19987
236850,2025-07-13,81,20690
236850,2025-07-20,81,20675
281990,2025-06-15,80,22688
250900,2025-06-22,80,23404
1203220,2025-06-29,80,97057
